DayofYear,total
1,1.4787165022734339
2,1.478758286420628
3,1.5874542630353672
4,1.6636168179848745
5,1.5247140750326538
6,1.5484447167127133
7,1.5502812864145006
8,1.606757171186712
9,1.6049619299576598
10,1.5529530824236037
11,1.5141511130554242
12,1.5577097764135674
13,1.562785179202952
14,1.5424942034833475
15,1.4747859838305408
16,1.5652600533336656
17,1.516032531363127
18,1.5048795267576467
19,1.4128828726968137
20,1.4494418153826385
21,1.497156768720299
22,1.4757202205168858
23,1.3938027644643303
24,1.4300974455312574
25,1.4507082736699202
26,1.427035877802971
27,1.426086007201948
28,1.385206548521679
29,1.4129997596075887
30,1.4483325701586782
31,1.4792270013205717
32,1.5984488936381163
33,1.4819171734528649
34,1.4367621289669776
35,1.4248693294676213
36,1.3323533929045892
37,1.4803602181388031
38,1.5304242126955283
39,1.490800116209028
40,1.5100215500054897
41,1.524788802353807
42,1.528897734450879
43,1.4828926601129953
44,1.4695665796271162
45,1.4438616639458706
46,1.456644528187967
47,1.3386615115958347
48,1.34328394239399
49,1.3648028708931337
50,1.378682758825633
51,1.3968588932286954
52,1.4426286355890778
53,1.4116780121011625
54,1.3600473827284116
55,1.301230916724874
56,1.2775471391215552
57,1.3215821191241448
58,1.3094931491087016
59,1.2997240984564087
60,1.3381918097273604
61,1.2685486247806783
62,1.3074479492678368
63,1.276231954653575
64,1.2705527194810111
65,1.280432093448397
66,1.3611993741454131
67,1.2983075416116905
68,1.3140562574484629
69,1.3210647213355335
70,1.3304214390834432
71,1.2858993904985303
72,1.2549431715806811
73,1.2224915326283141
74,1.2326312133359816
75,1.172583569175132
76,1.149732857856071
77,1.2042787927518042
78,1.188124324944094
79,1.1919226575094726
80,1.2447993145819938
81,1.217562557803234
82,1.207484709446371
83,1.1521298082833182
84,1.1148409074662156
85,1.1405406169525447
86,1.1237938713883107
87,1.141900383625258
88,1.1939400285817772
89,1.141388805187657
90,1.2207719748881518
91,1.1518728214821563
92,1.1514595337812863
93,1.1315534721643683
94,1.1580255067658713
95,1.1822625480595648
96,1.0858534254682701
97,1.0805373280006851
98,1.0939742379777375
99,1.061494368784166
100,1.0035716055980426
101,1.0564740156611767
102,1.0612090530770755
103,1.0230428683973967
104,1.0924197744263269
105,1.0635532214804597
106,1.0069763754128098
107,1.0185794443458764
108,1.0174993150250105
109,1.029675964140918
110,0.9862596780377387
111,0.9980077997340929
112,0.9806128938667968
113,0.9487099965172732
114,0.9113671969885553
115,0.9084569086227533
116,0.9120268625200413
117,0.9002182024233686
118,0.8997442120566566
119,0.8978745307225173
120,0.9146549351024347
121,0.9095051680772087
122,0.9852941224922748
123,1.0081584568387685
124,0.9757098219853075
125,0.9278144330973702
126,0.9161226233047535
127,0.9569500315046625
128,1.011607237102841
129,0.9651610156429986
130,0.9567023182650671
131,0.9641221476911686
132,0.9762437350118516
133,0.9660706414913982
134,0.9322511350258095
135,0.9061380393923841
136,0.925912914860188
137,0.9189495871334126
138,0.8832666531520567
139,0.8622387236052714
140,0.8259155662101941
141,0.8011284610377813
142,0.8070928505290644
143,0.7850556562789082
144,0.7743243069975384
145,0.7789951311364692
146,0.8140605460220309
147,0.8355755680921041
148,0.7990667507241465
149,0.8069169924738907
150,0.7832751311399879
151,0.7907904754490116
152,0.7919949172789024
153,0.7629675653961688
154,0.7559193744246135
155,0.7553464737098425
156,0.7714891215705681
157,0.8109268237751338
158,0.8227987296309225
159,0.811093302429031
160,0.8150838877401143
161,0.8093472083180562
162,0.7820244572264446
163,0.7675894396261638
164,0.7655270106384281
165,0.7644755476341383
166,0.7626664329455628
167,0.7589961579044096
168,0.7572323665594238
169,0.7693636413366929
170,0.7975275133636295
171,0.7924938995402127
172,0.7639483094499705
173,0.754952805114761
174,0.7412877761096575
175,0.7346717489595762
176,0.7347662634016461
177,0.7353956392915554
178,0.7348033104827465
179,0.7374869470825658
180,0.7303128345052831
181,0.7315560525133175
182,0.7251475020016352
183,0.7235193439987296
184,0.7262882039359249
185,0.731552251187176
186,0.7290236217015111
187,0.7418076393286765
188,0.7454117031437459
189,0.7345840137901688
190,0.740258454785406
191,0.7382366581410994
192,0.7371035714953251
193,0.7382341136164107
194,0.7397940585670185
195,0.7418570199025998
196,0.7434331412257149
197,0.7349737403185205
198,0.7461763984925098
199,0.7503605193437519
200,0.7604713821600513
201,0.7545311722799475
202,0.7488374868901849
203,0.7386116740351145
204,0.7361063762100679
205,0.732407756907713
206,0.7330691803976481
207,0.7376150893524309
208,0.7337828851028204
209,0.7370584704994618
210,0.7441378388265081
211,0.738537707208833
212,0.7345873712697992
213,0.7424738729492958
214,0.742853409221039
215,0.7431787418291308
216,0.7548062006910221
217,0.7336654230658364
218,0.7298759288795743
219,0.7381343862622312
220,0.7396284185802953
221,0.7397095616361428
222,0.7371607415319095
223,0.740551689376901
224,0.7400843111778507
225,0.7465167561170992
226,0.7463176457781651
227,0.7445028481939298
228,0.7464643989685751
229,0.7569621006750283
230,0.7576594467236566
231,0.747591517207356
232,0.7521260055523565
233,0.753575472525558
234,0.7579653135450907
235,0.7610226398420203
236,0.7456278446697595
237,0.7512857420226998
238,0.7574912361930188
239,0.7540743904572154
240,0.7601624479802067
241,0.7658790877263784
242,0.7709875693877194
243,0.7531749447885746
244,0.75398537560976
245,0.7748055063397506
246,0.7715496846985492
247,0.780103330358552
248,0.7927354877290322
249,0.7977454311604152
250,0.7914042351304987
251,0.7963072568296939
252,0.7785947370091157
253,0.8046829962462588
254,0.7985172438405962
255,0.7768794744882463
256,0.7892687479576949
257,0.7787693954272914
258,0.793464671390283
259,0.7906925548877537
260,0.8370439534051949
261,0.8494864415983889
262,0.8463462845796845
263,0.8407488970267749
264,0.8614743466641926
265,0.8378475680282378
266,0.8300573734570158
267,0.8459831504328111
268,0.848559979919511
269,0.8495754747498769
270,0.8517015685489808
271,0.8350866363895517
272,0.8394139560689777
273,0.8293347081811195
274,0.8346349912589848
275,0.8786593514858057
276,0.8856651725414757
277,0.9116351102113394
278,0.9737649285013924
279,0.9846963936850088
280,0.912743996023395
281,0.9329722782312118
282,1.0045279288142668
283,0.9390515297182458
284,0.9332846092560023
285,0.9319100446290822
286,0.9425329838043679
287,0.9430452821673136
288,0.9601950024945323
289,0.9306956646896454
290,1.0880810830318275
291,1.1113923028833914
292,1.1362606743031962
293,1.1358463085038908
294,1.093851502929035
295,1.049623547329291
296,1.058363094394201
297,1.0053967474317846
298,1.0255520909138907
299,1.0104562042961915
300,1.024262801098983
301,0.980828768767966
302,1.0075363148444514
303,1.0292831008493304
304,0.9901588019810005
305,1.0639307414807302
306,1.1710825931323567
307,1.2061799138965315
308,1.1406916420839674
309,1.1026452641032127
310,1.1139319229476632
311,1.186526424574735
312,1.2030247761456898
313,1.1911545314618561
314,1.2315279208624854
315,1.2264469327633207
316,1.205963166183
317,1.1974376010947507
318,1.1915999866696338
319,1.1669129680757617
320,1.159700935227193
321,1.2626543786904578
322,1.2157920351704778
323,1.214438848763086
324,1.1986604344570941
325,1.2331831094973826
326,1.311788393688453
327,1.3035586939705606
328,1.2405506495242618
329,1.2273795330401434
330,1.2699511035254893
331,1.2618727832543735
332,1.2885051873366828
333,1.2955469428929025
334,1.3205317599889472
335,1.3641752873377135
336,1.3214246281184088
337,1.2792411526880803
338,1.3094317971139546
339,1.268728494004927
340,1.2683920986711896
341,1.381694930523835
342,1.46010276966379
343,1.2435698378584765
344,1.3654166945235744
345,1.4422288857892673
346,1.3906521752727445
347,1.4230581002381275
348,1.389839805281873
349,1.4257536870717575
350,1.3901742251839042
351,1.4493518184789296
352,1.5815827560109548
353,1.576914448568706
354,1.603688056456265
355,1.599322187892275
356,1.5488587604871193
357,1.5875999194787702
358,1.491462052163892
359,1.411966834895693
360,1.3710241464172066
361,1.4258352013259439
362,1.4885939941100785
363,1.5327030988205572
364,1.454158105128076
365,1.4361789838262302
366,
